tickers
EBAY
TV
PBPB
FOXF
SCHL
MCD
PIR
CRWS
LEE
MNRO
TSCO
FL
JMEI
VOXX
HZO
MNI
ORLY
AMC
BDL
LUB
PVH
VRA
DXYN
CULP
MPX
CSV
HVT
EMMS
WBC
PATK
GCO
RICK
LOW
TIF
GPC
QSR
DIN
HD
TPX
BKE
CTRN
TGNA
ETH
PRTS
EVC
CHS
NKE
SYPR
ARCO
VNCE
GPS
DISCA
SSP
YUM
CAKE
DAN
AEO
WGO
CNK
THO
URBN
GNTX
TM
SPWH
NVFY
NWSA
PSO
CMG
CVCO
ULTA
DECK
SSI
TAST
LE
LEA
RDI
AMCX
HOFT
TILE
TPR
AHC
MBUU
FRAN
DIS
SALM
CATO
APTV
TLRD
MGA
THRM
GTN
RAVE
GES
AXL
GTIM
UONEK
MPAA
DJCO
CROX
SQBG
AAP
NFLX
BLMN
BC
BGFV
GAIA
DRI
SKX
CVGI
EXPE
RUSHA
VC
FOSL
ASNA
LKQ
VIAB
DLA
LB
DXLG
FOXA
BGI
JCP
SBGI
SRI
MSGN
SEAS
FBHS
VFC
RL
SMRT
OSTK
BJRI
LAD
DKS
F
CAAS
TXRH
TRIP
BSET
FORD
SKY
EAT
MTOR
WSM
SCI
CBS
SIX
MHK
AMWD
AMZN
KIRK
NYT
CONN
AN
SAUC
UFI
NATH
JACK
CHUY
DENN
MCS
SBUX
ALSN
WEN
TSLA
NEWM
POOL
PZZA
FUN
ETM
CRMT
GPI
ALV
CBRL
FLXS
AZO
GM
HIBB
RELX
WWW
EVK
DPZ
BWA
MMYT
SUP
HBI
COLM
DNKN
LL
ABG
HOG
SONC
STON
RH
RCKY
GME
AIN
CTHR
STRT
RGS
PAG
EDUC
JWN
LCII
SCVL
SGC
LQDT
PLCE
RRGB
KNDI
LZB
GIII
BBBY
SHOO
FRGI
P
TJX
SGA
MATW
EXPR
KSS
GIL
SNBR
SMP
KMX
ZUMZ
SIG
HMC
DDS
UAA
MOD
CAL
TEN
CBD
M
ARKR
TTM
KAR
NTZ
MLR
ROST
OXM
LEG
NXST
SAH
RUTH
CRI
ICON
BBY
BBGI
SYX
TLF
CPRT
TLYS
MED
PII
MELI
SORL
SBH
ANF
DORM
MOV
KGJI
