tickers
WABC
FDS
MCY
CWBC
FNB
BBD
OVLY
FDEF
APAM
TRI
JPM
NKSH
PRK
MHLD
IX
FHN
ICE
SNV
MBI
ONB
PNBK
TOWN
DHIL
TRST
BHLB
BMTC
INTL
UBSI
AGO
ECPG
CASH
PBCT
PEBO
WHG
OLBK
EBSB
ATLO
ASRV
AFG
MKL
HOMB
BWFG
AXP
PWOD
ORI
SFNC
ESXB
FCAP
HBAN
BLK
BCS
SMMF
CNBKA
RNST
HCI
CART
MSCI
UBFO
CZNC
EWBC
FRME
BHB
ESNT
RBS
BMA
FULT
BOCH
CIA
RE
UMPQ
NWBI
FBNC
CARV
JMP
LSBK
VOYA
MPB
CME
SRCE
MCO
RDN
BANC
EGBN
ENV
AFL
FIBK
TFSL
FFIC
PFS
THG
UVSP
OSBC
FSFG
ACNB
AB
GBCI
WEBK
SLF
LTS
NMIH
PB
FCNCA
WRLD
SYBT
UFCS
SBFG
HIFS
TCF
ACGL
DB
HFBL
MKTX
WF
CIB
HALL
FITB
GGAL
EMCF
FISI
FFIN
FNLC
CPF
KB
TRMK
PZN
TMP
FFNW
UNTY
HMN
CACC
TCBI
EBTC
APO
FMBI
CHCO
BFIN
CMA
AEG
GDOT
TSBK
WFC
PEBK
HBNC
PUK
SASR
PGC
ZION
HTBK
SF
NMR
VLY
CZWI
GSBC
NAVI
CCBG
STC
UNB
CTBI
MN
HSBC
HDB
CVCY
BX
HTLF
BMO
SHBI
ABCB
CB
CM
SIGI
BEN
FAF
HBMD
AXS
HTH
KRNY
AIG
MGYR
ANCX
FII
WAFD
CAC
BCBP
BOH
FRBK
MTG
WDR
FMNB
NGHC
WU
IBCP
SBCF
FCCO
CCNE
LPLA
PJC
BSRR
DNBF
GNW
SGB
AMG
PNC
SAN
SPGI
VBFC
KINS
PRU
BDGE
TD
BNS
IBOC
PRAA
VRTS
ORIT
Y
CUBI
PBHC
FUSB
HMNF
TROW
MET
FBMS
BAC
DGICA
CIVB
HWBK
SBSI
SMBC
BSAC
UIHC
AMP
DFS
BPFH
MFNC
GROW
PFBI
OPOF
IVZ
CBAN
STFC
DCOM
PBSK
SIVB
AIZ
BANR
GLBZ
TCBK
PACW
CNO
EFSC
WTBA
LARK
MA
ERIE
SLM
TRV
UVE
OPY
AROW
COF
L
GS
GLRE
CSFL
FRC
PBBI
FCBC
NSEC
GBL
KEY
OFED
CFR
NDAQ
IROQ
AUBN
FBC
AFH
SAL
RVSB
WSBF
V
BBVA
BOKF
ITIC
USB
BLX
FCCY
RJF
CIT
ESBK
PFG
NBN
UCFC
MFC
IBN
FCF
AMTD
UBOH
MCBC
WTM
BCRH
UBCP
STBA
EVBN
CINF
FBSS
CIZN
CNS
NTRS
GHL
NBHC
CATY
ALL
AFSI
BYFC
BK
TRCB
WAL
WVFC
SC
PMBC
GABC
ESSA
CBSH
ATLC
FLIC
CS
AAME
CG
IHC
WNEB
MGI
MFG
GBNK
LBAI
AMNB
MSBF
RGA
OMF
GFED
HMST
SNFCA
WASH
COLB
NWFL
TSC
TBNK
MBWM
SHG
ETFC
SAMG
AHL
OCFC
UNM
LNC
GCBC
NNI
BKU
FFBC
GCAP
FUNC
BKSC
PKBK
ALLY
MFSF
SAFT
NRIM
SFST
FSBW
EV
AEL
LM
NFBK
CHMG
PNFP
LKFN
BRKL
SMFG
BAP
OVBC
HTBI
WTFC
BKJ
STT
PBIP
ITUB
MTB
LFC
BANF
NICK
SONA
CBU
WSBC
LAZ
UCBI
ITCB
RM
PGR
ARES
INDB
BUSE
ASB
CFFN
UMBF
OPHC
FFG
SBNY
C
RLI
WSFS
WBS
SCHW
MOFG
CBOE
OPB
BCH
QCRH
ASFI
PLBC
WRB
HBCP
TPRE
HFWA
FBIZ
SIEB
NBTB
LCNB
CPSS
RNR
BMRC
PPBI
PROV
BXS
IBKR
RF
PFIS
CVBF
HAFC
ORRF
CNA
BGCP
SVBI
SEIC
STI
AMRB
EVR
WETF
BOTJ
THFF
MS
COWN
PRI
NWLI
NYCB
IBKC
KFFB
IBTX
SFBS
HIG
TBBK
RY
